session_id,timestamp,action,row,col,is_bomb,is_flagged,adjacent_bombs,snapshot,floodfill,step,was_correct_flag,total_flags_used,valid_move
4,11:46:57,flag,1,6,1,1,0,moves_snapshot/move_0001.npy,0,0,1,1,1
4,11:46:58,reveal,1,5,0,0,2,moves_snapshot/move_0002.npy,0,1,0,1,0
4,11:46:58,flag,5,8,1,1,0,moves_snapshot/move_0003.npy,0,2,1,2,1
4,11:46:59,flag,4,4,1,1,0,moves_snapshot/move_0004.npy,0,3,1,3,1
4,11:46:59,flag,8,4,1,1,0,moves_snapshot/move_0005.npy,0,4,1,4,1
4,11:47:00,reveal,3,4,0,0,2,moves_snapshot/move_0006.npy,0,5,0,4,0
4,11:47:00,flag,2,4,1,1,0,moves_snapshot/move_0007.npy,0,6,1,5,1
4,11:47:00,reveal,0,4,0,0,1,moves_snapshot/move_0008.npy,0,7,0,5,0
4,11:47:01,reveal,1,4,0,0,2,moves_snapshot/move_0009.npy,0,8,0,5,0
4,11:47:02,reveal,0,5,0,0,1,moves_snapshot/move_0010.npy,0,9,0,5,0
4,11:47:03,reveal,0,6,0,0,1,moves_snapshot/move_0011.npy,0,10,0,5,0
4,11:47:04,reveal,4,3,0,0,2,moves_snapshot/move_0012.npy,0,11,0,5,0
4,11:47:04,reveal,0,7,0,0,2,moves_snapshot/move_0013.npy,0,12,0,5,0
4,11:47:04,flag,0,8,1,1,0,moves_snapshot/move_0014.npy,0,13,1,6,1
4,11:47:05,reveal,2,3,0,0,2,moves_snapshot/move_0015.npy,0,14,0,6,0
4,11:47:06,reveal,3,3,0,0,2,moves_snapshot/move_0016.npy,0,15,0,6,0
4,11:47:07,reveal,2,2,0,0,1,moves_snapshot/move_0017.npy,0,16,0,6,0
4,11:47:08,reveal,3,2,0,0,0,moves_snapshot/move_0018.npy,1,17,0,6,0
4,11:47:08,flag,1,3,1,1,0,moves_snapshot/move_0019.npy,0,18,1,7,1
4,11:47:08,reveal,0,3,0,0,1,moves_snapshot/move_0020.npy,0,19,0,7,0
4,11:47:08,flag,5,2,1,1,0,moves_snapshot/move_0021.npy,0,20,1,8,1
4,11:47:09,reveal,6,2,0,0,1,moves_snapshot/move_0022.npy,0,21,0,8,0
4,11:47:10,reveal,7,2,0,0,2,moves_snapshot/move_0023.npy,0,22,0,8,0
4,11:47:11,reveal,8,3,0,0,2,moves_snapshot/move_0024.npy,0,23,0,8,0
4,11:47:11,flag,8,1,1,1,0,moves_snapshot/move_0025.npy,0,24,1,9,1
4,11:47:12,reveal,8,0,0,0,1,moves_snapshot/move_0026.npy,0,25,0,9,0
4,11:47:12,flag,8,2,1,1,0,moves_snapshot/move_0027.npy,0,26,1,10,1
4,11:47:15,reveal,4,1,0,0,0,moves_snapshot/move_0028.npy,1,27,0,10,0
